4.003,JPMCB,Homewood Suites Nashville,706 Church Street,Nashville,TN,37203,Davidson,1,Hotel,Extended Stay,1919,2007
4.004,JPMCB,Hampton Inn & Suites South Lake Buena Vista,4971 Calypso Cay Way,Kissimmee,FL,34746,Osceola,1,Hotel,Limited Service,2008,  
4.005,JPMCB,Candlewood Suites Hattiesburg,9 Gateway Drive,Hattiesburg,MS,39402,Forrest,1,Hotel,Extended Stay,2007,  
5,JPMCB,Google Kirkland Campus,"747, 777, & 787 6th Street South",Kirkland,WA,98033,King,1,Office,Suburban,2008,  
6,JPMCB,24 West 57th Street,24 West 57th Street,New York,NY,10019,New York,1,Mixed Use,Office/Retail,1928,2009
7,JPMCB,Kite Retail Portfolio,Various,Various,Various,Various,Various,4,Retail,Anchored,Various,  
7.001,JPMCB,Boulevard Crossing,US 31 Bypass & East Boulevard Street,Kokomo,IN,46902,Howard,1,Retail,Anchored,2004,  
7.002,JPMCB,Hamilton Crossing Center,12201 North Meridian Street,Carmel,IN,46032,Hamilton,1,Retail,Anchored,1999,  
7.003,JPMCB,Naperville Marketplace,3111 West 111th Street,Naperville,IL,60564,Will,1,Retail,Anchored,2008,  
7.004,JPMCB,Publix at Acworth,3507 Baker Road,Acworth,GA,30101,Cobb,1,Retail,Anchored,1997,  
8,JPMCB,Orland Park Place,1 Orland Park Place,Orland Park,IL,60462,Cook,1,Retail,Anchored,1980,1999
9,JPMCB,LaSalle Select Portfolio,Various,Various,GA,Various,Various,4,Office,Suburban,Various,  
9.001,JPMCB,5707 Peachtree Parkway,5707 Peachtree Parkway,Norcross,GA,30092,Gwinnett,1,Office,Suburban,1997,  
9.002,JPMCB,3585 Engineering Drive,3585 Engineering Drive,Norcross,GA,30092,Gwinnett,1,Office,Suburban,1996,  
9.003,JPMCB,6455 East Johns Crossing,6455 East Johns Crossing,Johns Creek,GA,30097,Fulton,1,Office,Suburban,1996,  
9.004,JPMCB,6625 The Corners Parkway,6625 The Corners Parkway,Norcross,GA,30092,Gwinnett,1,Office,Suburban,1986,  
10,JPMCB,Denver West Village,14225-14401 West Colfax Avenue,Lakewood,CO,80401,Jefferson,1,Retail,Anchored,1997,  
11,JPMCB,Lehigh Valley Portfolio,Various,Bethlehem,PA,18017,Northampton,6,Office,Suburban,Various,  
11.001,JPMCB,1640-1660 Valley Center Parkway,"1640, 1650 & 1660 Valley Center Parkway",Bethlehem,PA,18017,Northampton,1,Office,Suburban,1996,  
11.002,JPMCB,1455 Valley Center Parkway,1455 Valley Center Parkway,Bethlehem,PA,18017,Northampton,1,Office,Suburban,1996,  
11.003,JPMCB,1560 Valley Center Parkway,1560 Valley Center Parkway,Bethlehem,PA,18017,Northampton,1,Office,Suburban,1990,  
11.004,JPMCB,1550 Valley Center Parkway,1550 Valley Center Parkway,Bethlehem,PA,18017,Northampton,1,Office,Suburban,1989,  
11.005,JPMCB,1510 Valley Center Parkway,1510 Valley Center Parkway,Bethlehem,PA,18017,Northampton,1,Office,Suburban,1988,  
11.006,JPMCB,1530 Valley Center Parkway,1530 Valley Center Parkway,Bethlehem,PA,18017,Northampton,1,Office,Suburban,1988,  
12,JPMCB,Eddy Street Commons at Notre Dame,1234 North Eddy Street,South Bend,IN,46617,St. Joseph,1,Mixed Use,Retail/Office,"2009, 2010",  
13,JPMCB,SunTrust Bank Portfolio II,Various,Various,Various,Various,Various,30,Retail,Freestanding,Various,  
13.001,JPMCB,4240 West Lake Mary Boulevard,4240 West Lake Mary Boulevard,Lake Mary,FL,32746,Seminole,1,Retail,Freestanding,1987,  
13.002,JPMCB,26627 US Highway 19 North,26627 US Highway 19 North,Clearwater,FL,33761,Pinellas,1,Retail,Freestanding,1984,  
13.003,JPMCB,597 Solomons Island Road North,597 Solomons Island Road North,Prince Frederick,MD,20678,Calvert,1,Retail,Freestanding,1992,  
13.004,JPMCB,4425 Lafayette Street,4425 Lafayette Street,Marianna,FL,32446,Jackson,1,Retail,Freestanding,1975,  
13.005,JPMCB,1850 US Highway 1 South,1850 US Highway 1 South,St. Augustine,FL,32084,Saint Johns,1,Retail,Freestanding,1989,  
13.006,JPMCB,2150 Cleveland Street,2150 Cleveland Street,Clearwater,FL,33765,Pinellas,1,Retail,Freestanding,1979,  
13.007,JPMCB,1605 21st Avenue South,1605 21st Avenue South,Nashville,TN,37212,Davidson,1,Retail,Freestanding,1970,  
13.008,JPMCB,111 Southwest 17th Street,111 Southwest 17th Street,Ocala,FL,34471,Marion,1,Retail,Freestanding,1974,  
13.009,JPMCB,7319 Spring Hill Drive,7319 Spring Hill Drive,Spring Hill,FL,34606,Hernando,1,Retail,Freestanding,1979,  
13.010,JPMCB,10000 Taft Street,10000 Taft Street,Pembroke Pines,FL,33024,Broward,1,Retail,Freestanding,1982,  
13.011,JPMCB,6548 Main Street,6548 Main Street,Gloucester,VA,23061,Gloucester,1,Retail,Freestanding,1906,  
13.012,JPMCB,3990 Southwest State Road 200,3990 Southwest State Road 200,Ocala,FL,34474,Marion,1,Retail,Freestanding,1988,  
13.013,JPMCB,114 West Blue Ridge Street,114 West Blue Ridge Street,Stuart,VA,24171,Patrick,1,Retail,Freestanding,1965,  
13.014,JPMCB,240 West Main Street,240 West Main Street,Lebanon,TN,37087,Wilson,1,Retail,Freestanding,1951,  
13.015,JPMCB,892 Deltona Boulevard,892 Deltona Boulevard,Deltona,FL,32725,Volusia,1,Retail,Freestanding,1983,  
13.016,JPMCB,5370 Peachtree Industrial Boulevard,5370 Peachtree Industrial Boulevard,Chamblee,GA,30341,Dekalb,1,Retail,Freestanding,1965,  
13.017,JPMCB,7612 State Road 52,7612 State Road 52,Bayonet Point,FL,34667,Pasco,1,Retail,Freestanding,1985,  
13.018,JPMCB,286 Hancock Street,286 Hancock Street,Madison,GA,30650,Morgan,1,Retail,Freestanding,1980,  
13.019,JPMCB,100 Flagler Plaza Drive,100 Flagler Plaza Drive,Palm Coast,FL,32137,Flagler,1,Retail,Freestanding,1989,  
13.020,JPMCB,7801 Pineville-Matthews Road,7801 Pineville-Matthews Road,Charlotte,NC,28226,Mecklenburg,1,Retail,Freestanding,1990,  
13.021,JPMCB,201 South Peterson Avenue,201 South Peterson Avenue,Douglas,GA,31533,Coffee,1,Retail,Freestanding,1980,  
13.022,JPMCB,5705 High Point Road,5705 High Point Road,Greensboro,NC,27407,Guilford,1,Retail,Freestanding,1989,  
13.023,JPMCB,804 North Madison Boulevard,804 North Madison Boulevard,Roxboro,NC,27573,Person,1,Retail,Freestanding,1970,  
13.024,JPMCB,5473 East Mountain Street,5473 East Mountain Street,Stone Mountain,GA,30083,Dekalb,1,Retail,Freestanding,1974,  
13.025,JPMCB,5 West Main Street,5 West Main Street,Liberty,SC,29657,Pickens,1,Retail,Freestanding,1970,  
13.026,JPMCB,1645 Bradley Park Drive,1645 Bradley Park Drive,Columbus,GA,31904,Muscogee,1,Retail,Freestanding,1980,  
13.027,JPMCB,201 South Main Street,201 South Main Street,Creedmoor,NC,27522,Granville,1,Retail,Freestanding,1981,  
13.028,JPMCB,3000 Virginia Avenue,3000 Virginia Avenue,Collinsville,VA,24078,Henry,1,Retail,Freestanding,1953,  
13.029,JPMCB,88 Hillsboro Street,88 Hillsboro Street,Pittsboro,NC,27312,Chatham,1,Retail,Freestanding,1901,  
13.030,JPMCB,426 West Walnut Street,426 West Walnut Street,Johnson City,TN,37604,Washington,1,Retail,Freestanding,1966,  
14,JPMCB,Sawyer Heights Village,1919 Taylor Street,Houston,TX,77007,Harris,1,Retail,Anchored,2007,2009
15,JPMCB,University Town Center,1650 24th Avenue NW,Norman,OK,73069,Cleveland,1,Retail,Anchored,"2007, 2009",  
16,JPMCB,Maitland 200,2301 Maitland Center Parkway,Maitland,FL,32751,Orange,1,Office,Suburban,1984,  
17,JPMCB,Landing Apartments,2314 Kaliste Saloom Road,Lafayette,LA,70508,Lafayette,1,Multifamily,Garden,1984,  
18,JPMCB,Prattville Town Center,2760 Legends Parkway,Prattville,AL,36066,Elmore,1,Retail,Anchored,2007,  
19,JPMCB,Northcrest Shopping Center,9841 Northlake Centre Parkway,Charlotte,NC,28216,Mecklenburg,1,Retail,Anchored,2008,  
20,JPMCB,Verizon Alabama HQ,475 Quality Circle NW,Huntsville,AL,35806,Madison,1,Office,Suburban,2007,  
21,JPMCB,Brooks Corner,3143 SE Military Drive,San Antonio,TX,78223,Bexar,1,Retail,Anchored,2005,  
22,JPMCB,Bayport Commons,11655 West Hillsborough Avenue,Tampa,FL,33635,Hillsborough,1,Retail,Anchored,2007,  
23,JPMCB,Inman Grove Shopping Center,1065-1133 Inman Avenue,Edison,NJ,08820,Middlesex,1,Retail,Anchored,1985,  
24,JPMCB,River North Portfolio,Various,Chicago,IL,60654,Cook,2,Mixed Use,Office/Retail,Various,Various
24.001,JPMCB,114. W. Illinois,114 West Illinois Street,Chicago,IL,60654,Cook,1,Mixed Use,Office/Retail,1901,2007
24.002,JPMCB,500 N. Clark,500 & 508 North Clark Street,Chicago,IL,60654,Cook,1,Mixed Use,Office/Retail,"1880, 1980",  
25,JPMCB,Fairview Heights Plaza,49-79 Ludwig Drive,Fairview Heights,IL,62208,St. Clair,1,Retail,Anchored,1991,  
26,JPMCB,Heritage Commons III,13500 Heritage Parkway,Fort Worth,TX,76177,Tarrant,1,Office,Suburban,2006,  
27,JPMCB,Bird Creek Crossing,3550 South General Bruce Drive,Temple,TX,76504,Bell,1,Retail,Anchored,2007,  
28,JPMCB,Red Top Plaza,1300-1440 South Milwaukee Avenue,Libertyville,IL,60048,Lake,1,Retail,Anchored,1981,2008
29,JPMCB,Shaw's Londonderry,4 Orchard View Drive,Londonderry,NH,03053,Rockingham,1,Retail,Anchored,1982,  
30,JPMCB,Kensington Place MHC,60501 Grand River Avenue,New Hudson,MI,48165,Oakland,1,Manufactured Housing,Manufactured Housing,1968,  
31,JPMCB,Franklin Centre,7201 South 76th Street,Franklin,WI,53132,Milwaukee,1,Retail,Anchored,"1994, 2001, 2009",  
32,JPMCB,Village Ten Center,2022-2170 Northdale Boulevard NW,Coon Rapids,MN,55433,Anoka,1,Retail,Anchored,"1971, 2003",  
33,JPMCB,Caton Crossing,2300 South Route 59,Plainfield,IL,60586,Will,1,Retail,Anchored,1998,  
34,JPMCB,340 North Belt Place,340-350 North Sam Houston Parkway East,Houston,TX,77060,Harris,1,Office,Suburban,1979,  
35,JPMCB,Morningstar of Chapel Hill,515 South Greensboro Street,Carrboro,NC,27510,Orange,1,Self Storage,Self Storage,1985,  
36,JPMCB,The Cove at Southern,1818 Chandler Road,Statesboro,GA,30458,Bulloch,1,Multifamily,Student,1990,  
37,JPMCB,Lake Mary Plaza,4024 West Lake Mary Boulevard,Lake Mary,FL,32746,Seminole,1,Retail,Anchored,1999,2009
38,JPMCB,Creek Crossing Shopping Center,1919-1927 Faithon P. Lucas Sr. Boulevard,Mesquite,TX,75181,Dallas,1,Retail,Anchored,2000,  
39,JPMCB,Walgreens Plaza,3069 Richlands Highway,Jacksonville,NC,28540,Onslow,1,Retail,Anchored,1978,2010
40,JPMCB,Heritage Square,1783 Highway 138 SE,Conyers,GA,30013,Rockdale,1,Retail,Anchored,1987,2010
41,JPMCB,Towneplace Suites Charlotte,7805 Forest Point Boulevard,Charlotte,NC,28217,Mecklenburg,1,Hotel,Extended Stay,2000,2009
42,JPMCB,Fairfield Inn & Suites East Ridge,1453 North Mack Smith Road,East Ridge,TN,37412,Hamilton,1,Hotel,Limited Service,2007,  
43,JPMCB,Academy Sports Weslaco,535 East Expressway 83,Weslaco,TX,78596,Hidalgo,1,Retail,Freestanding,2011,  
44,JPMCB,Morningstar of Virginia Beach,5684 Haden Road,Virginia Beach,VA,23455,Virginia Beach City,1,Self Storage,Self Storage,2007,  
