Loan #,Seller(1),Property Name,Street Address,City,State,Zip Code,County,Number of Properties,Property_5 Type,Property_3 Subtype,Year Built,Year Renovated,Loan #.1,Seller(1).1,Property Name.1,Units(2),Unit of  Measure,Occupancy %,Occupancy Date,Appraised Value ($)(3),Appraisal Date(3),Current_1 LTV %(3),Original Balance ($)(4)_9,Original Balance_8 per Unit ($)_4,Current_4 Balance ($)(4)_1,Current Balance_2 per Unit ($)_4,% of Initial Pool Balance,Crossed Loan,Related Borrower(5),Interest Rate %(6)_1,Admin. Fee %(6),Net Mortgage Rate %(6)_0,Accrual Type,Loan #.2,Seller(1).2,Property Name.2,Monthly Debt Service ($)(7),Annual Debt Service ($)(8),Note Date,First Payment Date(9),Partial IO Last IO Payment,Partial IO Loan First P&I Payment,Rem._0  Term(9),Rem._0  Amort,I/O Period(9)(10),Seasoning,Payment Due Date,Grace Period_0  (Late Payment),Grace Period_7  (Default),Maturity Date,ARD Loan(11),Final Mat Date(11),Maturity/ARD Balance ($)(4),Maturity LTV %(3),Loan #.3,Seller(1).3,Property Name.3,Prepayment Provision (Payments)(9)(12)(13),2008_3 Revenues ($)_9,2008_7 Total Expenses ($)_2,2008_7 NOI ($)_9,2009_5 Revenues ($)_0,2009_0 Total Expenses ($)_3,2009_2 NOI ($)_0,2010_9 Revenues ($)_5,2010_4 Total Expenses ($)_5,2010_5 NOI ($)_5,Most Recent_5  Revenues ($),Most Recent_5  Total Expenses ($),Most Recent_3  NOI ($)(14),As of,Loan #.4,Seller(1).4,Property Name.4,UW Economic Occupancy %,UW_3 Revenues ($),UW Total Expenses ($),UW NOI ($)(14),UW_6  Capital Items ($),UW NCF ($)(14),UW_5  NOI DSCR(14),UW NCF_0 DSCR(14),UW NOI Debt Yield %,UW NCF_5  Debt Yield %,Title Type,Ground Lease_5  Expiration,Ground Lease_8  Extension Terms,PML %,Loan #.5,Seller(1).5,Property Name.5,Upfront Capex Reserve ($)_0,Upfront Engin. Reserve ($)_2,Upfront Envir.  Reserve ($),Upfront TI/LC Reserve ($)_0,Upfront RE Tax Reserve ($)_8,Upfront Ins. Reserve ($)_4,Upfront Other Reserve ($)_1,Unnamed: 99,Monthly Capex Reserve ($)_3,Monthly Envir. Reserve ($)_0,Monthly TI/LC Reserve ($)_8,Monthly RE Tax Reserve ($)_0,Monthly Ins. Reserve ($)_7,Monthly Other Reserve ($)_2,Loan #.6,Seller(1).6,Property Name.6,Capex  Reserve Cap ($)_3,Envir.  Reserve Cap ($)_6,TI/LC  Reserve Cap ($)_0,RE Tax  Reserve Cap ($)_1,Insur.  Reserve Cap ($)_4,Debt Service  Reserve Cap ($)_2,Other  Reserve Cap ($)_0,Unnamed: 10_level_1,Single Tenant,Largest Tenant,Unit Size_9,Lease_0 Expiration_3,Unnamed: 121,2nd Largest Tenant,Unit Size_3,Lease_0 Expiration_0,Loan #.7,Seller(1).7,Property Name.7,3rd Largest Tenant,Unit Size_8,Lease_8 Expiration_1,Unnamed: 131,4th Largest Tenant,"( '     ' ,   ' U n i t   S i z e _ 8 ' ) . 1",Lease_3 Expiration_6,"( '     ' ,   '     ' ) . 1",5th Largest Tenant,Unit Size_4,Lease_5 Expiration_4,Loan Purpose,Loan #.8,Seller(1).8,Property Name.8,Principal / Carveout Guarantor(20),Lockbox_5  (Y/N),Lockbox_9  Type(21),Additional Debt_2  Permitted (Y/N),Additional Debt_2  Exist (Y/N)(22),Additional Debt_4  Amount ($)(22),Additional Debt_5  Type(22),Total Debt_0 Current Balance ($),Total Debt_3  UW NCF  DSCR,Total Debt Current LTV %,Total Debt_9  UW NOI  Debt Yield %,Loan #_2,Seller(1).9,Property Name.9,2008_6 Occupancy %_3,2008_5  ADR ($)_3,2008_5  RevPAR ($)_0,2009_8  Occupancy %_3,2009_5  ADR ($)_6,2009_7  RevPAR ($)_1,2010_4  Occupancy %_1,2010_6  ADR ($)_8,2010_7  RevPAR ($)_8,Most Recent_9  Occupancy %_5,Most Recent_7  ADR ($)_3,Most Recent_3  RevPAR ($)_7,UW_0 Occupancy %_4,UW_6  ADR ($)_7,UW_9  RevPAR ($)_0,Loan #_5
2.046,JPMCB,55 Farrs Bridge Road,55 Farrs Bridge Road,Greenville,SC,29617,Greenville,1,Retail,Freestanding,1992,  ,2.046,JPMCB,55 Farrs Bridge Road,"5,000",Square Feet,100.0%,06/15/11,"1,625,000",05/18/11,  ,"812,577",  ,"812,577",  ,0.1%,  ,  ,  ,  ,  ,  ,2.046,JPMCB,55 Farrs Bridge Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"812,577",  ,2.046,JPMCB,55 Farrs Bridge Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.046,JPMCB,55 Farrs Bridge Road,95.0%,"126,037","3,781","122,256","6,850","115,406",  ,  ,  ,  ,Fee,  ,  ,  ,2.046,JPMCB,55 Farrs Bridge Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.046,JPMCB,55 Farrs Bridge Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,000",12/31/17,  ,  ,  ,  ,2.046,JPMCB,55 Farrs Bridge Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.046,JPMCB,55 Farrs Bridge Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.046,JPMCB,55 Farrs Bridge Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.046
2.0469999999999997,JPMCB,314 East Eau Gallie Boulevard,314 East Eau Gallie Boulevard,Indian Harbour Beach,FL,32937,Brevard,1,Retail,Freestanding,1988,  ,2.0469999999999997,JPMCB,314 East Eau Gallie Boulevard,"3,750",Square Feet,100.0%,06/15/11,"1,600,000",05/20/11,  ,"800,076",  ,"800,076",  ,0.1%,  ,  ,  ,  ,  ,  ,2.0469999999999997,JPMCB,314 East Eau Gallie Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"800,076",  ,2.0469999999999997,JPMCB,314 East Eau Gallie Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.0469999999999997,JPMCB,314 East Eau Gallie Boulevard,95.0%,"114,883","3,446","111,436","5,138","106,299",  ,  ,  ,  ,Fee,  ,  ,  ,2.047,JPMCB,314 East Eau Gallie Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.047,JPMCB,314 East Eau Gallie Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,750",12/31/17,  ,  ,  ,  ,2.047,JPMCB,314 East Eau Gallie Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.0469999999999997,JPMCB,314 East Eau Gallie Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.047,JPMCB,314 East Eau Gallie Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.047
2.048,JPMCB,2300 South Atlantic Avenue,2300 South Atlantic Avenue,Daytona Beach,FL,32118,Volusia,1,Retail,Freestanding,1963,  ,2.048,JPMCB,2300 South Atlantic Avenue,"3,600",Square Feet,100.0%,06/15/11,"1,600,000",05/20/11,  ,"800,076",  ,"800,076",  ,0.1%,  ,  ,  ,  ,  ,  ,2.048,JPMCB,2300 South Atlantic Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"800,076",  ,2.048,JPMCB,2300 South Atlantic Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.048,JPMCB,2300 South Atlantic Avenue,95.0%,"124,807","3,744","121,063","4,932","116,131",  ,  ,  ,  ,Fee,  ,  ,  ,2.048,JPMCB,2300 South Atlantic Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.048,JPMCB,2300 South Atlantic Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,600",12/31/17,  ,  ,  ,  ,2.048,JPMCB,2300 South Atlantic Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.048,JPMCB,2300 South Atlantic Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.048,JPMCB,2300 South Atlantic Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.048
2.049,JPMCB,9955 Southeast Federal Highway,9955 Southeast Federal Highway,Hobe Sound,FL,33455,Martin,1,Retail,Freestanding,1989,  ,2.049,JPMCB,9955 Southeast Federal Highway,"3,400",Square Feet,100.0%,06/15/11,"1,600,000",05/11/11,  ,"800,076",  ,"800,076",  ,0.1%,  ,  ,  ,  ,  ,  ,2.049,JPMCB,9955 Southeast Federal Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"800,076",  ,2.049,JPMCB,9955 Southeast Federal Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.049,JPMCB,9955 Southeast Federal Highway,95.0%,"133,041","3,991","129,050","4,658","124,392",  ,  ,  ,  ,Fee,  ,  ,  ,2.049,JPMCB,9955 Southeast Federal Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.049,JPMCB,9955 Southeast Federal Highway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,400",12/31/17,  ,  ,  ,  ,2.049,JPMCB,9955 Southeast Federal Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.049,JPMCB,9955 Southeast Federal Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.049,JPMCB,9955 Southeast Federal Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.049
2.05,JPMCB,5303 Southwest 91st Drive,5303 Southwest 91st Drive,Gainesville,FL,32608,Alachua,1,Retail,Freestanding,1996,  ,2.05,JPMCB,5303 Southwest 91st Drive,"4,420",Square Feet,100.0%,06/15/11,"1,600,000",05/20/11,  ,"800,076",  ,"800,076",  ,0.1%,  ,  ,  ,  ,  ,  ,2.05,JPMCB,5303 Southwest 91st Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"800,076",  ,2.05,JPMCB,5303 Southwest 91st Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.05,JPMCB,5303 Southwest 91st Drive,95.0%,"111,417","3,342","108,074","6,055","102,019",  ,  ,  ,  ,Fee,  ,  ,  ,2.050,JPMCB,5303 Southwest 91st Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.050,JPMCB,5303 Southwest 91st Drive,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,420",12/31/17,  ,  ,  ,  ,2.050,JPMCB,5303 Southwest 91st Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.05,JPMCB,5303 Southwest 91st Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.050,JPMCB,5303 Southwest 91st Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.050
2.051,JPMCB,1610 Woodruff Road,1610 Woodruff Road,Greenville,SC,29607,Greenville,1,Retail,Freestanding,1992,  ,2.051,JPMCB,1610 Woodruff Road,"3,832",Square Feet,100.0%,06/15/11,"1,575,000",05/18/11,  ,"787,575",  ,"787,575",  ,0.1%,  ,  ,  ,  ,  ,  ,2.051,JPMCB,1610 Woodruff Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"787,575",  ,2.051,JPMCB,1610 Woodruff Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.051,JPMCB,1610 Woodruff Road,95.0%,"119,777","3,593","116,184","5,250","110,934",  ,  ,  ,  ,Fee,  ,  ,  ,2.051,JPMCB,1610 Woodruff Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.051,JPMCB,1610 Woodruff Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,832",12/31/17,  ,  ,  ,  ,2.051,JPMCB,1610 Woodruff Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.051,JPMCB,1610 Woodruff Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.051,JPMCB,1610 Woodruff Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.051
2.052,JPMCB,5727 Gantt Road,5727 Gantt Road,Sarasota,FL,34233,Sarasota,1,Retail,Freestanding,1983,  ,2.052,JPMCB,5727 Gantt Road,"3,131",Square Feet,100.0%,06/15/11,"1,500,000",05/09/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  ,2.052,JPMCB,5727 Gantt Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"750,071",  ,2.052,JPMCB,5727 Gantt Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.052,JPMCB,5727 Gantt Road,95.0%,"110,872","3,326","107,546","4,289","103,257",  ,  ,  ,  ,Fee,  ,  ,  ,2.052,JPMCB,5727 Gantt Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.052,JPMCB,5727 Gantt Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,131",12/31/17,  ,  ,  ,  ,2.052,JPMCB,5727 Gantt Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.052,JPMCB,5727 Gantt Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.052,JPMCB,5727 Gantt Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.052
2.053,JPMCB,7879 West Commercial Boulevard,7879 West Commercial Boulevard,Tamarac,FL,33351,Broward,1,Retail,Freestanding,1974,  ,2.053,JPMCB,7879 West Commercial Boulevard,"4,000",Square Feet,100.0%,06/15/11,"1,500,000",05/11/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  ,2.053,JPMCB,7879 West Commercial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"750,071",  ,2.053,JPMCB,7879 West Commercial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.053,JPMCB,7879 West Commercial Boulevard,95.0%,"135,316","4,059","131,257","5,480","125,777",  ,  ,  ,  ,Fee,  ,  ,  ,2.053,JPMCB,7879 West Commercial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.053,JPMCB,7879 West Commercial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,000",12/31/17,  ,  ,  ,  ,2.053,JPMCB,7879 West Commercial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.053,JPMCB,7879 West Commercial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.053,JPMCB,7879 West Commercial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.053
2.0540000000000003,JPMCB,140 West Main Street,140 West Main Street,Oxford,NC,27565,Granville,1,Retail,Freestanding,1970,  ,2.0540000000000003,JPMCB,140 West Main Street,"5,400",Square Feet,100.0%,06/15/11,"1,500,000",05/16/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  ,2.0540000000000003,JPMCB,140 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"750,071",  ,2.0540000000000003,JPMCB,140 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.0540000000000003,JPMCB,140 West Main Street,95.0%,"130,675","3,920","126,755","7,398","119,357",  ,  ,  ,  ,Fee,  ,  ,  ,2.054,JPMCB,140 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.054,JPMCB,140 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,400",12/31/17,  ,  ,  ,  ,2.054,JPMCB,140 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.0540000000000003,JPMCB,140 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.054,JPMCB,140 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.054
2.055,JPMCB,234 Barton Boulevard,234 Barton Boulevard,Rockledge,FL,32955,Brevard,1,Retail,Freestanding,1989,  ,2.055,JPMCB,234 Barton Boulevard,"3,667",Square Feet,100.0%,06/15/11,"1,400,000",05/20/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  ,2.055,JPMCB,234 Barton Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"750,071",  ,2.055,JPMCB,234 Barton Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.055,JPMCB,234 Barton Boulevard,95.0%,"119,735","3,592","116,143","5,024","111,119",  ,  ,  ,  ,Fee,  ,  ,  ,2.055,JPMCB,234 Barton Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.055,JPMCB,234 Barton Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,667",12/31/17,  ,  ,  ,  ,2.055,JPMCB,234 Barton Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.055,JPMCB,234 Barton Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.055,JPMCB,234 Barton Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.055
2.056,JPMCB,7061 South US Highway 1,7061 South US Highway 1,Port St. Lucie,FL,34952,Saint Lucie,1,Retail,Freestanding,1982,  ,2.056,JPMCB,7061 South US Highway 1,"3,200",Square Feet,100.0%,06/15/11,"1,500,000",05/11/11,  ,"750,071",  ,"750,071",  ,0.1%,  ,  ,  ,  ,  ,  ,2.056,JPMCB,7061 South US Highway 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"750,071",  ,2.056,JPMCB,7061 South US Highway 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.056,JPMCB,7061 South US Highway 1,95.0%,"114,507","3,435","111,072","4,384","106,688",  ,  ,  ,  ,Fee,  ,  ,  ,2.056,JPMCB,7061 South US Highway 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.056,JPMCB,7061 South US Highway 1,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,200",12/31/17,  ,  ,  ,  ,2.056,JPMCB,7061 South US Highway 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.056,JPMCB,7061 South US Highway 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.056,JPMCB,7061 South US Highway 1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.056
2.057,JPMCB,204 West Center Street,204 West Center Street,Mebane,NC,27302,Alamance,1,Retail,Freestanding,1961,  ,2.057,JPMCB,204 West Center Street,"5,483",Square Feet,100.0%,06/15/11,"1,450,000",05/16/11,  ,"725,069",  ,"725,069",  ,0.1%,  ,  ,  ,  ,  ,  ,2.057,JPMCB,204 West Center Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"725,069",  ,2.057,JPMCB,204 West Center Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.057,JPMCB,204 West Center Street,95.0%,"116,098","3,483","112,615","7,512","105,103",  ,  ,  ,  ,Fee,  ,  ,  ,2.057,JPMCB,204 West Center Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.057,JPMCB,204 West Center Street,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,483",12/31/17,  ,  ,  ,  ,2.057,JPMCB,204 West Center Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.057,JPMCB,204 West Center Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.057,JPMCB,204 West Center Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.057
2.0580000000000003,JPMCB,4410 Altama Avenue,4410 Altama Avenue,Brunswick,GA,31520,Glynn,1,Retail,Freestanding,1980,  ,2.0580000000000003,JPMCB,4410 Altama Avenue,"4,600",Square Feet,100.0%,06/15/11,"1,450,000",05/11/11,  ,"725,069",  ,"725,069",  ,0.1%,  ,  ,  ,  ,  ,  ,2.0580000000000003,JPMCB,4410 Altama Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"725,069",  ,2.0580000000000003,JPMCB,4410 Altama Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.0580000000000003,JPMCB,4410 Altama Avenue,95.0%,"102,039","3,061","98,978","6,302","92,676",  ,  ,  ,  ,Fee,  ,  ,  ,2.058,JPMCB,4410 Altama Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.058,JPMCB,4410 Altama Avenue,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,600",12/31/17,  ,  ,  ,  ,2.058,JPMCB,4410 Altama Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.0580000000000003,JPMCB,4410 Altama Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.058,JPMCB,4410 Altama Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.058
2.059,JPMCB,1935 Galleria Boulevard,1935 Galleria Boulevard,Charlotte,NC,28270,Mecklenburg,1,Retail,Freestanding,1990,  ,2.059,JPMCB,1935 Galleria Boulevard,"3,188",Square Feet,100.0%,06/15/11,"1,420,000",05/20/11,  ,"710,067",  ,"710,067",  ,0.1%,  ,  ,  ,  ,  ,  ,2.059,JPMCB,1935 Galleria Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"710,067",  ,2.059,JPMCB,1935 Galleria Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.059,JPMCB,1935 Galleria Boulevard,95.0%,"119,095","3,573","115,522","4,368","111,154",  ,  ,  ,  ,Fee,  ,  ,  ,2.059,JPMCB,1935 Galleria Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.059,JPMCB,1935 Galleria Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,188",12/31/17,  ,  ,  ,  ,2.059,JPMCB,1935 Galleria Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.059,JPMCB,1935 Galleria Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.059,JPMCB,1935 Galleria Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.059
2.06,JPMCB,4800 Northwest Blichton Road,4800 Northwest Blichton Road,Ocala,FL,34482,Marion,1,Retail,Freestanding,1990,  ,2.06,JPMCB,4800 Northwest Blichton Road,"5,586",Square Feet,100.0%,06/15/11,"1,400,000",05/20/11,  ,"700,067",  ,"700,067",  ,0.1%,  ,  ,  ,  ,  ,  ,2.06,JPMCB,4800 Northwest Blichton Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"700,067",  ,2.06,JPMCB,4800 Northwest Blichton Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.06,JPMCB,4800 Northwest Blichton Road,95.0%,"105,700","3,171","102,529","7,653","94,876",  ,  ,  ,  ,Fee,  ,  ,  ,2.060,JPMCB,4800 Northwest Blichton Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.060,JPMCB,4800 Northwest Blichton Road,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,586",12/31/17,  ,  ,  ,  ,2.060,JPMCB,4800 Northwest Blichton Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.06,JPMCB,4800 Northwest Blichton Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.060,JPMCB,4800 Northwest Blichton Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.060
2.061,JPMCB,7001 Lee Highway,7001 Lee Highway,Chattanooga,TN,37421,Hamilton,1,Retail,Freestanding,1971,  ,2.061,JPMCB,7001 Lee Highway,"5,057",Square Feet,100.0%,06/15/11,"1,400,000",05/16/11,  ,"700,067",  ,"700,067",  ,0.1%,  ,  ,  ,  ,  ,  ,2.061,JPMCB,7001 Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"700,067",  ,2.061,JPMCB,7001 Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.061,JPMCB,7001 Lee Highway,95.0%,"101,979","3,059","98,920","6,928","91,992",  ,  ,  ,  ,Fee,  ,  ,  ,2.061,JPMCB,7001 Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.061,JPMCB,7001 Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,057",12/31/17,  ,  ,  ,  ,2.061,JPMCB,7001 Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.061,JPMCB,7001 Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.061,JPMCB,7001 Lee Highway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2.061
