13.015,JPMCB,892 Deltona Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.016,JPMCB,5370 Peachtree Industrial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.017,JPMCB,7612 State Road 52,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.018,JPMCB,286 Hancock Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.019,JPMCB,100 Flagler Plaza Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.020,JPMCB,7801 Pineville-Matthews Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.021,JPMCB,201 South Peterson Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.022,JPMCB,5705 High Point Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.023,JPMCB,804 North Madison Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.024,JPMCB,5473 East Mountain Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.025,JPMCB,5 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.026,JPMCB,1645 Bradley Park Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.027,JPMCB,201 South Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.028,JPMCB,3000 Virginia Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.029,JPMCB,88 Hillsboro Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.030,JPMCB,426 West Walnut Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
14,JPMCB,Sawyer Heights Village,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
15,JPMCB,University Town Center,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
16,JPMCB,Maitland 200,"3,095",0,0,"2,029,488","250,358",0,"710,367",  ,"3,095",0,"16,000","25,036",0,0
17,JPMCB,Landing Apartments,"7,210","21,250",0,0,"106,644",0,0,  ,"7,210",0,0,"13,331",0,0
18,JPMCB,Prattville Town Center,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
19,JPMCB,Northcrest Shopping Center,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
20,JPMCB,Verizon Alabama HQ,"3,170",0,0,0,"143,000","28,616",0,  ,"3,100",0,0,"11,000","1,908",0
21,JPMCB,Brooks Corner,0,0,0,"12,500",0,0,0,  ,0,0,"12,500",0,0,0
22,JPMCB,Bayport Commons,"1,625",0,0,"84,717",0,0,0,  ,"1,625",0,"6,072",0,0,0
23,JPMCB,Inman Grove Shopping Center,"1,800,000","11,625","1,214,375",0,"146,333",0,"300,000",  ,"2,033",0,"4,200","48,778",0,0
24,JPMCB,River North Portfolio,"1,150","20,000",0,"6,350","113,047","2,917",0,  ,"1,150",0,"6,350","22,609",583,0
24.001,JPMCB,114. W. Illinois,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
24.002,JPMCB,500 N. Clark,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
25,JPMCB,Fairview Heights Plaza,"2,485","357,875",0,"6,600","217,254",0,"1,500,000",  ,"2,485",0,"6,600","24,139",0,0
26,JPMCB,Heritage Commons III,"1,500","16,066",0,"10,250","249,314",0,0,  ,"1,500",0,"10,250","35,616",0,0
27,JPMCB,Bird Creek Crossing,0,"14,383",0,0,0,0,0,  ,0,0,0,0,0,0
28,JPMCB,Red Top Plaza,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
29,JPMCB,Shaw's Londonderry,"3,765",0,"125,000",0,"103,221",0,0,  ,"3,765",0,0,"25,786",0,0
30,JPMCB,Kensington Place MHC,"2,035",0,0,0,"21,302",0,0,  ,"2,035",0,0,"21,302",0,0
31,JPMCB,Franklin Centre,"2,855","28,206",0,"3,200","20,127",0,0,  ,"2,855",0,"3,200","10,063",0,0
32,JPMCB,Village Ten Center,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
33,JPMCB,Caton Crossing,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
34,JPMCB,340 North Belt Place,"4,150","18,750",0,"14,600","89,157",0,0,  ,"4,150",0,"14,600","14,860",0,0
35,JPMCB,Morningstar of Chapel Hill,658,0,0,0,"11,167",0,0,  ,658,0,0,"5,583",0,0
36,JPMCB,The Cove at Southern,"3,730",0,0,0,"41,372","5,178",0,  ,"3,730",0,0,"5,172","1,294",0
37,JPMCB,Lake Mary Plaza,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
38,JPMCB,Creek Crossing Shopping Center,"1,200","33,876",0,"1,525","100,317","4,659","41,889",  ,"1,200",0,"1,525","14,331",932,0
39,JPMCB,Walgreens Plaza,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
40,JPMCB,Heritage Square,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
41,JPMCB,Towneplace Suites Charlotte,"5,350","20,853",0,0,"30,015",0,0,  ,"1/12 of 4% of Gross Income, Not < 5,350",0,0,"3,335",0,0
42,JPMCB,Fairfield Inn & Suites East Ridge,"5,800",0,0,0,"31,773",0,0,  ,"1/12 of 4% of Gross Income, Not < 5,800",0,0,"4,539",0,0
43,JPMCB,Academy Sports Weslaco,0,0,0,0,0,0,0,  ,0,0,0,0,0,0
44,JPMCB,Morningstar of Virginia Beach,470,0,0,0,"16,672",0,0,  ,470,0,0,"3,334",0,0
