1,JPMCB,InterContinental Hotel Chicago,505 North Michigan Avenue,Chicago,IL,60611,Cook,1,Hotel,Full Service,1929,2010
2.028,JPMCB,1411 Woodward Avenue,1411 Woodward Avenue,Muscle Shoals,AL,35661,Colbert,1,Retail,Freestanding,1993,  
2.029,JPMCB,5025 West Colonial Drive,5025 West Colonial Drive,Orlando,FL,32808,Orange,1,Retail,Freestanding,1960,  
2.030,JPMCB,214 West Broadway Street,214 West Broadway Street,Fort Meade,FL,33841,Polk,1,Retail,Freestanding,1910,  
2.031,JPMCB,5030 Thoroughbred Lane,5030 Thoroughbred Lane,Brentwood,TN,37027,Davidson,1,Retail,Freestanding,1983,  
2.032,JPMCB,403 Academy Street,403 Academy Street,Cambridge,MD,21613,Dorchester,1,Retail,Freestanding,1973,  
2.033,JPMCB,1900 Queens Chapel Road,1900 Queens Chapel Road,Avondale,MD,20782,Prince George's,1,Retail,Freestanding,1948,  
2.034,JPMCB,113 East Granada Boulevard,113 East Granada Boulevard,Ormond Beach,FL,32176,Volusia,1,Retail,Freestanding,1979,  
2.035,JPMCB,408 South US Highway 41,408 South US Highway 41,Inverness,FL,34450,Citrus,1,Retail,Freestanding,1992,  
2.036,JPMCB,299 Bill France Boulevard,299 Bill France Boulevard,Daytona Beach,FL,32114,Volusia,1,Retail,Freestanding,1982,  
2.037,JPMCB,1235 Southlake Circle,1235 Southlake Circle,Morrow,GA,30260,Clayton,1,Retail,Freestanding,1983,  
2.038,JPMCB,6300 Central Avenue,6300 Central Avenue,St. Petersburg,FL,33707,Pinellas,1,Retail,Freestanding,1979,  
2.039,JPMCB,2503 Lebanon Road,2503 Lebanon Road,Nashville,TN,37214,Davidson,1,Retail,Freestanding,1969,  
2.040,JPMCB,2458 North Wickham Road,2458 North Wickham Road,Melbourne,FL,32935,Brevard,1,Retail,Freestanding,1981,  
2.041,JPMCB,160 North Nova Road,160 North Nova Road,Ormond Beach,FL,32174,Volusia,1,Retail,Freestanding,1983,  
2.042,JPMCB,1301 Northwest Saint Lucie West Boulevard,1301 Northwest Saint Lucie West Boulevard,Port St. Lucie,FL,34986,Saint Lucie,1,Retail,Freestanding,1995,  
2.043,JPMCB,1075 Carpenters Way,1075 Carpenters Way,Lakeland,FL,33809,Polk,1,Retail,Freestanding,1986,  
2.044,JPMCB,930 Main Street,930 Main Street,Conyers,GA,30012,Rockdale,1,Retail,Freestanding,1966,  
2.045,JPMCB,3301 Gulf Breeze Parkway,3301 Gulf Breeze Parkway,Gulf Breeze,FL,32563,Santa Rosa,1,Retail,Freestanding,1985,  
2.046,JPMCB,55 Farrs Bridge Road,55 Farrs Bridge Road,Greenville,SC,29617,Greenville,1,Retail,Freestanding,1992,  
2.047,JPMCB,314 East Eau Gallie Boulevard,314 East Eau Gallie Boulevard,Indian Harbour Beach,FL,32937,Brevard,1,Retail,Freestanding,1988,  
2.048,JPMCB,2300 South Atlantic Avenue,2300 South Atlantic Avenue,Daytona Beach,FL,32118,Volusia,1,Retail,Freestanding,1963,  
2.049,JPMCB,9955 Southeast Federal Highway,9955 Southeast Federal Highway,Hobe Sound,FL,33455,Martin,1,Retail,Freestanding,1989,  
2.050,JPMCB,5303 Southwest 91st Drive,5303 Southwest 91st Drive,Gainesville,FL,32608,Alachua,1,Retail,Freestanding,1996,  
2.051,JPMCB,1610 Woodruff Road,1610 Woodruff Road,Greenville,SC,29607,Greenville,1,Retail,Freestanding,1992,  
2.052,JPMCB,5727 Gantt Road,5727 Gantt Road,Sarasota,FL,34233,Sarasota,1,Retail,Freestanding,1983,  
2.053,JPMCB,7879 West Commercial Boulevard,7879 West Commercial Boulevard,Tamarac,FL,33351,Broward,1,Retail,Freestanding,1974,  
2.054,JPMCB,140 West Main Street,140 West Main Street,Oxford,NC,27565,Granville,1,Retail,Freestanding,1970,  
2.055,JPMCB,234 Barton Boulevard,234 Barton Boulevard,Rockledge,FL,32955,Brevard,1,Retail,Freestanding,1989,  
2.056,JPMCB,7061 South US Highway 1,7061 South US Highway 1,Port St. Lucie,FL,34952,Saint Lucie,1,Retail,Freestanding,1982,  
2.057,JPMCB,204 West Center Street,204 West Center Street,Mebane,NC,27302,Alamance,1,Retail,Freestanding,1961,  
2.058,JPMCB,4410 Altama Avenue,4410 Altama Avenue,Brunswick,GA,31520,Glynn,1,Retail,Freestanding,1980,  
2.059,JPMCB,1935 Galleria Boulevard,1935 Galleria Boulevard,Charlotte,NC,28270,Mecklenburg,1,Retail,Freestanding,1990,  
2.060,JPMCB,4800 Northwest Blichton Road,4800 Northwest Blichton Road,Ocala,FL,34482,Marion,1,Retail,Freestanding,1990,  
2.061,JPMCB,7001 Lee Highway,7001 Lee Highway,Chattanooga,TN,37421,Hamilton,1,Retail,Freestanding,1971,  
2.062,JPMCB,344 Monument Road,344 Monument Road,Jacksonville,FL,32225,Duval,1,Retail,Freestanding,1987,  
2.063,JPMCB,3850 Rockbridge Road,3850 Rockbridge Road,Stone Mountain,GA,30083,Dekalb,1,Retail,Freestanding,1971,  
2.064,JPMCB,4142 Sixth Street South,4142 Sixth Street South,St. Petersburg,FL,33705,Pinellas,1,Retail,Freestanding,1998,  
2.065,JPMCB,189 South Lowry Street,189 South Lowry Street,Smyrna,TN,37167,Rutherford,1,Retail,Freestanding,1964,  
2.066,JPMCB,222 South Main Street,222 South Main Street,Hendersonville,NC,28792,Henderson,1,Retail,Freestanding,1998,  
2.067,JPMCB,3720 3rd Street South,3720 3rd Street South,Jacksonville Beach,FL,32250,Duval,1,Retail,Freestanding,1993,  
2.068,JPMCB,21744 State Road 54,21744 State Road 54,Lutz,FL,33549,Pasco,1,Retail,Freestanding,1987,  
2.069,JPMCB,4041 Rowan Road,4041 Rowan Road,New Port Richey,FL,34653,Pasco,1,Retail,Freestanding,1987,  
2.070,JPMCB,4986 North Henry Boulevard,4986 North Henry Boulevard,Stockbridge,GA,30281,Henry,1,Retail,Freestanding,1972,  
2.071,JPMCB,62 Market Street,62 Market Street,Onancock,VA,23417,Accomack,1,Retail,Freestanding,1971,  
2.072,JPMCB,610 East Derenne Avenue,610 East Derenne Avenue,Savannah,GA,31405,Chatham,1,Retail,Freestanding,1980,  
2.073,JPMCB,4125 State Road 60,4125 State Road 60,Vero Beach,FL,32960,Indian River,1,Retail,Freestanding,1984,  
2.074,JPMCB,1821 Hillandale Road,1821 Hillandale Road,Durham,NC,27705,Durham,1,Retail,Freestanding,1974,  
2.075,JPMCB,180 Gaines School Road,180 Gaines School Road,Athens,GA,30605,Clarke,1,Retail,Freestanding,1980,  
2.076,JPMCB,2815 Skidaway Road,2815 Skidaway Road,Savannah,GA,31404,Chatham,1,Retail,Freestanding,1980,  
2.077,JPMCB,2100 West Cumberland Street,2100 West Cumberland Street,Dunn,NC,28334,Harnett,1,Retail,Freestanding,1988,  
2.078,JPMCB,9601 East Dr. Martin Luther King Junior Boulevard,9601 East Dr. Martin Luther King Junior Boulevard,Tampa,FL,33610,Hillsborough,1,Retail,Freestanding,1984,  
2.079,JPMCB,2915 Nolensville Road,2915 Nolensville Road,Nashville,TN,37211,Davidson,1,Retail,Freestanding,1964,  
2.080,JPMCB,496 Mclaws Circle,496 Mclaws Circle,Williamsburg,VA,23185,James City,1,Retail,Freestanding,1982,  
2.081,JPMCB,201 South Pleasantburg Drive,201 South Pleasantburg Drive,Greenville,SC,29607,Greenville,1,Retail,Freestanding,1988,  
2.082,JPMCB,1250 South Church Street,1250 South Church Street,Murfreesboro,TN,37130,Rutherford,1,Retail,Freestanding,1968,  
2.083,JPMCB,1104 Gray Highway,1104 Gray Highway,Macon,GA,31211,Bibb,1,Retail,Freestanding,1980,  
2.084,JPMCB,3814 Northwest 43rd Street,3814 Northwest 43rd Street,Gainesville,FL,32606,Alachua,1,Retail,Freestanding,1983,  
2.085,JPMCB,111 North Causeway,111 North Causeway,New Smyrna Beach,FL,32169,Volusia,1,Retail,Freestanding,1981,  
2.086,JPMCB,7804 National Service Road,7804 National Service Road,Greensboro,NC,27409,Guilford,1,Retail,Freestanding,1990,  
2.087,JPMCB,201 North Isabella Street,201 North Isabella Street,Sylvester,GA,31791,Worth,1,Retail,Freestanding,1980,  
2.088,JPMCB,300 US Highway 43,300 US Highway 43,Killen,AL,35645,Lauderdale,1,Retail,Freestanding,1980,  
2.089,JPMCB,272 North Fayetteville Street,272 North Fayetteville Street,Asheboro,NC,27204,Randolph,1,Retail,Freestanding,1973,  
2.090,JPMCB,112 McClanahan Street,112 McClanahan Street,Roanoke,VA,24014,Roanoke City,1,Retail,Freestanding,1970,  
2.091,JPMCB,200 South State Street,200 South State Street,Yadkinville,NC,27055,Yadkin,1,Retail,Freestanding,1959,  
2.092,JPMCB,2843 Panola Road,2843 Panola Road,Lithonia,GA,30058,Dekalb,1,Retail,Freestanding,1974,  
2.093,JPMCB,4441 The Plaza,4441 The Plaza,Charlotte,NC,28215,Mecklenburg,1,Retail,Freestanding,1971,  
2.094,JPMCB,9627 Dayton Pike,9627 Dayton Pike,Soddy Daisy,TN,37379,Hamilton,1,Retail,Freestanding,1965,  
2.095,JPMCB,125 East Virginia Avenue,125 East Virginia Avenue,Bessemer City,NC,28016,Gaston,1,Retail,Freestanding,1997,  
2.096,JPMCB,1301 Taft Highway,1301 Taft Highway,Signal Mountain,TN,37377,Hamilton,1,Retail,Freestanding,1973,  
2.097,JPMCB,745 South Broad Street,745 South Broad Street,Brooksville,FL,34601,Hernando,1,Retail,Freestanding,1974,  
2.098,JPMCB,5980 Imperial Parkway,5980 Imperial Parkway,Mulberry,FL,33860,Polk,1,Retail,Freestanding,1980,  
2.099,JPMCB,4601 Jonesboro Road,4601 Jonesboro Road,Union City,GA,30291,Fulton,1,Retail,Freestanding,1980,  
2.100,JPMCB,2111 Wade Hampton Boulevard,2111 Wade Hampton Boulevard,Greenville,SC,29615,Greenville,1,Retail,Freestanding,1988,  
2.101,JPMCB,658 Main Street,658 Main Street,Thomson,GA,30824,McDuffie,1,Retail,Freestanding,1980,  
2.102,JPMCB,414 Wharf Street,414 Wharf Street,Loudon,TN,37774,Loudon,1,Retail,Freestanding,1967,  
2.103,JPMCB,4233 West Stone Drive,4233 West Stone Drive,Kingsport,TN,37660,Hawkins,1,Retail,Freestanding,1986,  
