13.014,JPMCB,240 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.015,JPMCB,892 Deltona Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.016,JPMCB,5370 Peachtree Industrial Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.017,JPMCB,7612 State Road 52,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.018,JPMCB,286 Hancock Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.019,JPMCB,100 Flagler Plaza Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.020,JPMCB,7801 Pineville-Matthews Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.021,JPMCB,201 South Peterson Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.022,JPMCB,5705 High Point Road,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.023,JPMCB,804 North Madison Boulevard,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.024,JPMCB,5473 East Mountain Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.025,JPMCB,5 West Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.026,JPMCB,1645 Bradley Park Drive,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.027,JPMCB,201 South Main Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.028,JPMCB,3000 Virginia Avenue,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.029,JPMCB,88 Hillsboro Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
13.030,JPMCB,426 West Walnut Street,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
14,JPMCB,Sawyer Heights Village,Amegy Bank,"5,000",11/30/17,  ,Chili's,"5,000",03/31/18,  ,The Vitamin Shoppe,"3,500",07/31/20,Acquisition
15,JPMCB,University Town Center,Ulta Salon,"20,748",01/31/23,  ,PetCo,"15,000",11/30/17,  ,Dress Barn,"7,800",12/31/17,Acquisition
16,JPMCB,Maitland 200,Welbro Building Corp.,"21,391",11/30/16,  ,FL Department of Revenue,"20,798",03/31/15,  ,M2 Systems Corp.,"9,817",11/30/12,Acquisition
17,JPMCB,Landing Apartments,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
18,JPMCB,Prattville Town Center,PetSmart,"20,260",01/31/18,  ,Books-A-Million,"15,500",01/31/19,  ,Rack Room Shoes,"9,000",07/31/17,Acquisition
19,JPMCB,Northcrest Shopping Center,Dollar Tree,"11,232",05/31/18,  ,Shoe Carnival,"10,477",03/15/17,  ,David's Bridal,"10,011",08/31/18,Acquisition
20,JPMCB,Verizon Alabama HQ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Acquisition
21,JPMCB,Brooks Corner,K & G Superstore,"17,703",03/31/17,  ,PetCo,"15,000",01/31/16,  ,Dollar Tree,"12,000",04/30/16,Refinance
22,JPMCB,Bayport Commons,PetSmart,"20,343",01/31/18,  ,Mattress Firm,"4,800",04/30/13,  ,Bright Now Dental,"3,237",07/31/13,Refinance
23,JPMCB,Inman Grove Shopping Center,Wachovia (Ground Lease),"4,160",07/14/16,  ,Burger King,"3,927",07/01/12,  ,Health Foods,"3,600",06/30/12,Refinance
24,JPMCB,River North Portfolio,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
24.001,JPMCB,114. W. Illinois,Rockit Ranch Office,"3,600",03/31/13,  ,  ,  ,  ,  ,  ,  ,  ,  
24.002,JPMCB,500 N. Clark,Gravity Tank,"3,757",02/28/18,  ,Arment Dietrich,"3,679",10/31/12,  ,Fusion Idea Labs,"3,300",07/15/13,  
25,JPMCB,Fairview Heights Plaza,Guitar Center,"22,176",01/31/17,  ,Planet Fitness,"20,310",07/31/21,  ,Ginger Buffet & Grill,"8,300",09/30/13,Refinance
26,JPMCB,Heritage Commons III,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Acquisition
27,JPMCB,Bird Creek Crossing,Office Max,"17,862",11/30/17,  ,Michaels,"17,175",02/28/18,  ,Spec's Liquor and Fine Foods,"15,659",06/30/20,Acquisition
28,JPMCB,Red Top Plaza,Re-Max,"6,400",02/28/13,  ,The Batterz Box,"6,400",02/28/17,  ,Fifth Third Bank,"4,000",07/31/23,Acquisition
29,JPMCB,Shaw's Londonderry,Goodwill,"12,500",07/31/12,  ,Radio Shack,"3,120",10/31/12,  ,1/2 Off Cards,"2,980",07/31/13,Refinance
30,JPMCB,Kensington Place MHC,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
31,JPMCB,Franklin Centre,Linda's Hallmark,"5,310",02/28/14,  ,Lectric Beach Tanning Salon,"2,800",12/31/14,  ,Pizza Hut,"2,000",07/31/13,Refinance
32,JPMCB,Village Ten Center,Dollar Tree,"13,039",09/30/13,  ,Erik's Bike Shop,"4,569",09/30/14,  ,AAA,"1,920",01/31/13,Refinance
33,JPMCB,Caton Crossing,Unlimited Tan,"3,000",MTM,  ,Lucky Bamboo Restaurant,"3,000",MTM,  ,Doctors of Physical Therapy,"3,000",10/31/15,Refinance
34,JPMCB,340 North Belt Place,Winter Pediatric Therapy,"5,444",01/31/15,  ,National Mentor Healthcare,"4,816",11/30/12,  ,Arete Real Estate & Development Co.,"4,638",05/31/13,Refinance
35,JPMCB,Morningstar of Chapel Hill,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
36,JPMCB,The Cove at Southern,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
37,JPMCB,Lake Mary Plaza,Starbucks,"1,551",02/28/14,  ,Just Fabulous Spa Salon,"1,259",12/31/14,  ,  ,  ,  ,Acquisition
38,JPMCB,Creek Crossing Shopping Center,Ivy Cleaners,"2,188",11/30/15,  ,Gorham Enterprises,"1,980",08/31/12,  ,"Dental One, Inc.","1,752",05/31/17,Refinance
39,JPMCB,Walgreens Plaza,Top Dogz Pizza & Subs,"1,875",10/31/14,  ,Golden China,"1,875",05/31/12,  ,Jackson Hewitt Tax Service,"1,875",MTM,Acquisition
40,JPMCB,Heritage Square,Batteries Plus,"2,000",08/31/20,  ,Spherion,"1,425",11/30/11,  ,American General Finance,"1,400",10/31/11,Acquisition
41,JPMCB,Towneplace Suites Charlotte,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
42,JPMCB,Fairfield Inn & Suites East Ridge,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
43,JPMCB,Academy Sports Weslaco,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Acquisition
44,JPMCB,Morningstar of Virginia Beach,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Refinance
