9,JPMCB,LaSalle Select Portfolio,83.0%,"6,968,528","2,752,737","4,215,792","506,842","3,708,949",1.57,1.39,10.5%,9.3%,Fee,  ,  ,  
9.001,JPMCB,5707 Peachtree Parkway,83.0%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
9.002,JPMCB,3585 Engineering Drive,83.0%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
9.003,JPMCB,6455 East Johns Crossing,83.0%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
9.004,JPMCB,6625 The Corners Parkway,83.0%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
10,JPMCB,Denver West Village,91.7%,"5,999,610","2,463,685","3,535,925","306,188","3,229,737",1.95,1.78,12.6%,11.5%,Fee,  ,  ,  
11,JPMCB,Lehigh Valley Portfolio,88.7%,"5,435,025","1,950,339","3,484,686","492,671","2,992,015",2.07,1.78,13.2%,11.3%,Fee,  ,  ,  
11.001,JPMCB,1640-1660 Valley Center Parkway,88.7%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
11.002,JPMCB,1455 Valley Center Parkway,88.7%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
11.003,JPMCB,1560 Valley Center Parkway,88.7%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
11.004,JPMCB,1550 Valley Center Parkway,88.7%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
11.005,JPMCB,1510 Valley Center Parkway,88.7%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
11.006,JPMCB,1530 Valley Center Parkway,88.7%,  ,  ,  ,  ,  ,  ,  ,  ,  ,Fee,  ,  ,  
12,JPMCB,Eddy Street Commons at Notre Dame,94.2%,"5,305,970","2,621,646","2,684,324","254,168","2,430,156",1.55,1.41,10.5%,9.5%,Leasehold,05/31/83,None,  
13,JPMCB,SunTrust Bank Portfolio II,95.0%,"3,721,117","111,634","3,609,483","247,005","3,362,478",2.62,2.44,14.4%,13.4%,Fee,  ,  ,  
13.001,JPMCB,4240 West Lake Mary Boulevard,95.0%,"295,174","8,855","286,319","15,414","270,905",  ,  ,  ,  ,Fee,  ,  ,  
13.002,JPMCB,26627 US Highway 19 North,95.0%,"193,653","5,810","187,844","9,905","177,938",  ,  ,  ,  ,Fee,  ,  ,  
13.003,JPMCB,597 Solomons Island Road North,95.0%,"188,027","5,641","182,386","7,542","174,844",  ,  ,  ,  ,Fee,  ,  ,  
13.004,JPMCB,4425 Lafayette Street,95.0%,"174,519","5,236","169,283","18,160","151,123",  ,  ,  ,  ,Fee,  ,  ,  
13.005,JPMCB,1850 US Highway 1 South,95.0%,"157,294","4,719","152,575","9,420","143,155",  ,  ,  ,  ,Fee,  ,  ,  
13.006,JPMCB,2150 Cleveland Street,95.0%,"166,393","4,992","161,401","8,511","152,890",  ,  ,  ,  ,Fee,  ,  ,  
13.007,JPMCB,1605 21st Avenue South,95.0%,"141,161","4,235","136,927","6,899","130,027",  ,  ,  ,  ,Fee,  ,  ,  
13.008,JPMCB,111 Southwest 17th Street,95.0%,"158,568","4,757","153,811","9,966","143,846",  ,  ,  ,  ,Fee,  ,  ,  
13.009,JPMCB,7319 Spring Hill Drive,95.0%,"158,028","4,741","153,287","9,464","143,823",  ,  ,  ,  ,Fee,  ,  ,  
13.010,JPMCB,10000 Taft Street,95.0%,"147,043","4,411","142,632","7,479","135,152",  ,  ,  ,  ,Fee,  ,  ,  
13.011,JPMCB,6548 Main Street,95.0%,"153,523","4,606","148,917","10,644","138,273",  ,  ,  ,  ,Fee,  ,  ,  
13.012,JPMCB,3990 Southwest State Road 200,95.0%,"119,117","3,574","115,543","7,321","108,223",  ,  ,  ,  ,Fee,  ,  ,  
13.013,JPMCB,114 West Blue Ridge Street,95.0%,"124,464","3,734","120,730","16,267","104,463",  ,  ,  ,  ,Fee,  ,  ,  
13.014,JPMCB,240 West Main Street,95.0%,"137,128","4,114","133,014","10,497","122,517",  ,  ,  ,  ,Fee,  ,  ,  
13.015,JPMCB,892 Deltona Boulevard,95.0%,"120,199","3,606","116,593","6,881","109,712",  ,  ,  ,  ,Fee,  ,  ,  
13.016,JPMCB,5370 Peachtree Industrial Boulevard,95.0%,"132,109","3,963","128,146","7,553","120,593",  ,  ,  ,  ,Fee,  ,  ,  
13.017,JPMCB,7612 State Road 52,95.0%,"121,237","3,637","117,600","6,201","111,399",  ,  ,  ,  ,Fee,  ,  ,  
13.018,JPMCB,286 Hancock Street,95.0%,"107,339","3,220","104,119","9,324","94,795",  ,  ,  ,  ,Fee,  ,  ,  
13.019,JPMCB,100 Flagler Plaza Drive,95.0%,"110,835","3,325","107,510","6,236","101,273",  ,  ,  ,  ,Fee,  ,  ,  
13.020,JPMCB,7801 Pineville-Matthews Road,95.0%,"78,728","2,362","76,366","4,251","72,115",  ,  ,  ,  ,Fee,  ,  ,  
13.021,JPMCB,201 South Peterson Avenue,95.0%,"72,364","2,171","70,193","13,896","56,297",  ,  ,  ,  ,Fee,  ,  ,  
13.022,JPMCB,5705 High Point Road,95.0%,"94,709","2,841","91,868","5,275","86,593",  ,  ,  ,  ,Fee,  ,  ,  
13.023,JPMCB,804 North Madison Boulevard,95.0%,"83,890","2,517","81,373","5,024","76,349",  ,  ,  ,  ,Fee,  ,  ,  
13.024,JPMCB,5473 East Mountain Street,95.0%,"78,511","2,355","76,156","6,514","69,642",  ,  ,  ,  ,Fee,  ,  ,  
13.025,JPMCB,5 West Main Street,95.0%,"76,173","2,285","73,888","4,473","69,414",  ,  ,  ,  ,Fee,  ,  ,  
13.026,JPMCB,1645 Bradley Park Drive,95.0%,"148,915","4,467","144,448","8,745","135,703",  ,  ,  ,  ,Fee,  ,  ,  
13.027,JPMCB,201 South Main Street,95.0%,"57,412","1,722","55,690","3,980","51,709",  ,  ,  ,  ,Fee,  ,  ,  
13.028,JPMCB,3000 Virginia Avenue,95.0%,"51,641","1,549","50,092","4,989","45,103",  ,  ,  ,  ,Fee,  ,  ,  
13.029,JPMCB,88 Hillsboro Street,95.0%,"45,736","1,372","44,364","3,171","41,193",  ,  ,  ,  ,Fee,  ,  ,  
13.030,JPMCB,426 West Walnut Street,95.0%,"27,224",817,"26,407","3,001","23,406",  ,  ,  ,  ,Fee,  ,  ,  
14,JPMCB,Sawyer Heights Village,86.8%,"3,138,771","938,282","2,200,489","113,619","2,086,871",2.31,2.20,11.8%,11.2%,Fee,  ,  ,  
15,JPMCB,University Town Center,95.0%,"3,075,507","698,236","2,377,271","193,871","2,183,401",2.29,2.10,12.7%,11.7%,Fee,  ,  ,  
16,JPMCB,Maitland 200,93.0%,"3,810,215","1,767,621","2,042,594","286,693","1,755,901",1.84,1.58,11.9%,10.2%,Fee,  ,  ,  
17,JPMCB,Landing Apartments,95.0%,"2,724,991","985,807","1,739,184","86,500","1,652,684",1.77,1.68,10.9%,10.4%,Fee,  ,  ,  
18,JPMCB,Prattville Town Center,90.0%,"2,469,991","476,960","1,993,031","168,103","1,824,928",2.25,2.06,12.5%,11.5%,Fee,  ,  ,  
19,JPMCB,Northcrest Shopping Center,80.2%,"2,428,952","489,677","1,939,275","128,849","1,810,426",2.21,2.06,12.3%,11.5%,Fee,  ,  ,  
20,JPMCB,Verizon Alabama HQ,95.0%,"2,140,383","297,926","1,842,457","38,042","1,804,416",2.11,2.07,12.2%,11.9%,Fee,  ,  ,  
21,JPMCB,Brooks Corner,88.5%,"2,682,101","1,006,974","1,675,127","150,968","1,524,158",1.78,1.62,11.8%,10.7%,Fee,  ,  ,  
22,JPMCB,Bayport Commons,91.6%,"1,798,938","530,460","1,268,479","96,383","1,172,096",1.43,1.32,9.7%,8.9%,Fee,07/29/61,None,  
23,JPMCB,Inman Grove Shopping Center,90.0%,"2,428,374","1,120,740","1,307,634","104,969","1,202,665",1.43,1.31,10.1%,9.3%,Fee,  ,  ,  
24,JPMCB,River North Portfolio,92.5%,"1,919,690","486,941","1,432,750","89,979","1,342,771",1.69,1.58,11.3%,10.6%,Fee,  ,  ,  
24.001,JPMCB,114. W. Illinois,92.5%,"1,163,244","254,973","908,271","49,730","858,542",  ,  ,  ,  ,Fee,  ,  ,  
24.002,JPMCB,500 N. Clark,92.5%,"756,446","231,968","524,479","40,250","484,229",  ,  ,  ,  ,Fee,  ,  ,  
25,JPMCB,Fairview Heights Plaza,76.2%,"1,770,503","636,276","1,134,227","109,341","1,024,887",1.41,1.27,9.1%,8.2%,Fee,  ,  ,  
26,JPMCB,Heritage Commons III,95.0%,"2,703,502","1,342,847","1,360,655","135,195","1,225,460",1.61,1.45,11.0%,9.9%,Fee,  ,  ,  
27,JPMCB,Bird Creek Crossing,88.0%,"2,152,390","679,938","1,472,452","148,729","1,323,723",2.40,2.16,12.6%,11.3%,Fee,  ,  ,  
28,JPMCB,Red Top Plaza,83.2%,"2,101,678","714,651","1,387,026","129,014","1,258,013",2.16,1.96,12.2%,11.0%,Fee,  ,  ,  
29,JPMCB,Shaw's Londonderry,88.4%,"1,860,610","613,780","1,246,831","130,549","1,116,282",1.49,1.33,11.3%,10.1%,Fee,  ,  ,  
30,JPMCB,Kensington Place MHC,81.6%,"2,246,460","1,086,583","1,159,876","24,400","1,135,476",1.85,1.81,12.9%,12.6%,Fee,  ,  ,  
31,JPMCB,Franklin Centre,88.6%,"1,373,640","469,074","904,566","112,203","792,363",1.52,1.33,10.7%,9.3%,Fee,  ,  ,  
32,JPMCB,Village Ten Center,88.5%,"2,254,654","1,287,319","967,336","115,128","852,208",2.22,1.95,11.7%,10.3%,Fee,  ,  ,  
33,JPMCB,Caton Crossing,90.1%,"1,522,493","514,343","1,008,150","92,592","915,558",2.48,2.25,13.1%,11.9%,Fee,  ,  ,  
34,JPMCB,340 North Belt Place,82.1%,"1,898,902","958,088","940,814","178,044","762,769",2.06,1.67,14.1%,11.5%,Fee,  ,  ,  
35,JPMCB,Morningstar of Chapel Hill,81.0%,"891,988","263,278","628,710","7,893","620,817",1.37,1.35,9.7%,9.6%,Fee,  ,  ,  
36,JPMCB,The Cove at Southern,83.0%,"1,416,281","785,695","630,586","44,760","585,826",1.54,1.43,10.8%,10.0%,Fee,  ,  ,  
37,JPMCB,Lake Mary Plaza,90.0%,"789,268","139,305","649,962","11,812","638,150",2.47,2.42,12.8%,12.6%,Fee,  ,  ,  
38,JPMCB,Creek Crossing Shopping Center,85.5%,"828,346","328,052","500,294","30,305","469,989",1.52,1.43,9.9%,9.3%,Fee,  ,  ,  
39,JPMCB,Walgreens Plaza,85.0%,"810,194","147,085","663,108","23,773","639,335",2.64,2.55,14.3%,13.7%,Fee,  ,  ,  
40,JPMCB,Heritage Square,90.5%,"722,814","114,266","608,548","13,917","594,631",2.63,2.57,13.6%,13.3%,Fee,  ,  ,  
41,JPMCB,Towneplace Suites Charlotte,75.0%,"1,568,436","1,027,018","541,417",0,"541,417",1.58,1.58,12.5%,12.5%,Fee,  ,  ,  
42,JPMCB,Fairfield Inn & Suites East Ridge,67.0%,"1,603,758","1,114,061","489,697",0,"489,697",1.52,1.52,12.0%,12.0%,Fee,  ,  ,  
43,JPMCB,Academy Sports Weslaco,95.0%,"447,688","13,431","434,257","48,515","385,741",1.72,1.53,11.9%,10.6%,Fee,  ,  ,  
44,JPMCB,Morningstar of Virginia Beach,70.1%,"564,977","235,959","329,018","5,630","323,388",1.30,1.28,9.3%,9.1%,Fee,  ,  ,  
