Loan,Seller,Property Name,Street Address,City,State,Zip Code,County,Number of Properties,Property Type,Property Subtype,Year Built,Year Renovated,Units,Unit of Measure,Occupancy,Occupancy Date,Appraised Value,Appraisal Date,Current LTV,Original Balance,Original Balance per Unit,Current Balance,Current Balance per Unit,of Initial Pool Balance,Crossed Loan,Related Borrower,Interest Rate,Admin. Fee,Net Mortgage Rate,Accrual Type,Monthly Debt Service,Annual Debt Service,Note Date,First Payment Date,Partial IO Last IO Payment,Partial IO Loan First P&I Payment,Rem. Term,Rem. Amort,IO Period,Seasoning,Payment Due Date,Grace Period,Grace Period,Maturity Date,ARD Loan,Final Mat Date,MaturityARD Balance,Maturity LTV,Prepayment Provision,2008 Revenues,2008 Total Expenses,2008 NOI,2009 Revenues,2009 Total Expenses,2009 NOI,2010 Revenues,2010 Total Expenses,2010 NOI,Most Recent Revenues,Most Recent Total Expenses,Most Recent NOI,As of,UW Economic Occupancy,UW Revenues,UW Total Expenses,UW NOI,UW Capital Items,UW NCF,UW NOI DSCR,UW NCF DSCR,UW NOI Debt Yield,UW NCF Debt Yield,Title Type,Ground Lease Expiration,Ground Lease Extension Terms,PML,Upfront Capex Reserve,Upfront Engin. Reserve,Upfront Envir. Reserve,Upfront TILC Reserve,Upfront RE Tax Reserve,Upfront Ins. Reserve,Upfront Other Reserve,Monthly Capex Reserve,Monthly Envir. Reserve,Monthly TILC Reserve,Monthly RE Tax Reserve,Monthly Ins. Reserve,Monthly Other Reserve,Capex Reserve Cap,TILC Reserve Cap,Single Tenant,Largest Tenant,Unit Size,Lease Expiration,2nd Largest Tenant,Unit Size,Lease Expiration,3rd Largest Tenant,Unit Size,Lease Expiration,4th Largest Tenant,. 1,Lease Expiration,. 1,5th Largest Tenant,Unit Size,Lease Expiration,Loan Purpose,Principal Carveout Guarantor,Lockbox,Lockbox Type,Additional Debt Permitted,Additional Debt Exist,Additional Debt Amount,Additional Debt Type,Total Debt Current Balance,Total Debt UW NCF DSCR,Total Debt Current LTV,Total Debt UW NOI Debt Yield,2008 Occupancy,2008 ADR,2008 RevPAR,2009 Occupancy,2009 ADR,2009 RevPAR,2010 Occupancy,2010 ADR,2010 RevPAR,Most Recent Occupancy,Most Recent ADR,Most Recent RevPAR,UW Occupancy,UW ADR,UW RevPAR
2.009,JPMCB,160 Garrisonville Road,160 Garrisonville Road,Stafford,VA,22554,Stafford,1,Retail,Freestanding,1992,  ,"3,800",Square Feet,100.0%,06/15/11,"2,825,000",05/23/11,  ,"1,412,634",  ,"1,412,634",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,412,634",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"199,239","5,977","193,262","5,206","188,056",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"3,800",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.01,JPMCB,5775 Red Bug Lake Road,5775 Red Bug Lake Road,Casselberry,FL,32708,Seminole,1,Retail,Freestanding,1982,  ,"5,465",Square Feet,100.0%,06/15/11,"2,800,000",05/21/11,  ,"1,400,133",  ,"1,400,133",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,400,133",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"189,464","5,684","183,780","7,487","176,293",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,465",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.011,JPMCB,4212 Washington Road,4212 Washington Road,Evans,GA,30809,Columbia,1,Retail,Freestanding,1980,  ,"9,235",Square Feet,100.0%,06/15/11,"2,650,000",05/12/11,  ,"1,325,126",  ,"1,325,126",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,325,126",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"186,091","5,583","180,508","12,652","167,856",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"9,235",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.012,JPMCB,47 Whitlock Avenue,47 Whitlock Avenue,Marietta,GA,30064,Cobb,1,Retail,Freestanding,1979,  ,"8,310",Square Feet,100.0%,06/15/11,"2,650,000",05/11/11,  ,"1,325,126",  ,"1,325,126",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,325,126",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"195,816","5,874","189,942","11,385","178,557",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"8,310",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.013,JPMCB,4110 Brambleton Avenue SW,4110 Brambleton Avenue SW,Roanoke,VA,24018,Roanoke,1,Retail,Freestanding,1973,  ,"6,032",Square Feet,100.0%,06/15/11,"2,550,000",05/20/11,  ,"1,275,121",  ,"1,275,121",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,275,121",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"182,461","5,474","176,987","8,264","168,723",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"6,032",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.014,JPMCB,880 East Palmetto Park Road,880 East Palmetto Park Road,Boca Raton,FL,33432,Palm Beach,1,Retail,Freestanding,1973,  ,"4,000",Square Feet,100.0%,06/15/11,"2,500,000",05/11/11,  ,"1,250,119",  ,"1,250,119",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,250,119",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"176,270","5,288","170,982","5,480","165,502",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,000",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.015,JPMCB,1409 East Atlantic Boulevard,1409 East Atlantic Boulevard,Pompano Beach,FL,33060,Broward,1,Retail,Freestanding,1979,  ,"5,200",Square Feet,100.0%,06/15/11,"2,500,000",05/11/11,  ,"1,250,119",  ,"1,250,119",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,250,119",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"186,074","5,582","180,492","7,124","173,368",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,200",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.016,JPMCB,3577 Fruitville Road,3577 Fruitville Road,Sarasota,FL,34237,Sarasota,1,Retail,Freestanding,1974,  ,"4,684",Square Feet,100.0%,06/15/11,"2,500,000",05/09/11,  ,"1,250,119",  ,"1,250,119",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,250,119",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"176,415","5,292","171,123","6,417","164,706",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,684",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.017,JPMCB,827 Joe Frank Harris Parkway,827 Joe Frank Harris Parkway,Cartersville,GA,30120,Bartow,1,Retail,Freestanding,1989,  ,"8,992",Square Feet,100.0%,06/15/11,"2,500,000",05/11/11,  ,"1,250,119",  ,"1,250,119",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,250,119",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"199,465","5,984","193,481","12,319","181,162",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"8,992",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.018,JPMCB,1470 West Granada Boulevard,1470 West Granada Boulevard,Ormond Beach,FL,32174,Volusia,1,Retail,Freestanding,1994,  ,"5,300",Square Feet,100.0%,06/15/11,"2,400,000",05/20/11,  ,"1,200,114",  ,"1,200,114",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,200,114",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"178,399","5,352","173,047","7,261","165,786",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"5,300",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.019,JPMCB,103 City Circle,103 City Circle,Peachtree City,GA,30269,Fayette,1,Retail,Freestanding,1997,  ,"7,166",Square Feet,100.0%,06/15/11,"2,400,000",05/10/11,  ,"1,200,114",  ,"1,200,114",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,200,114",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"180,636","5,419","175,217","9,817","165,400",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"7,166",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.02,JPMCB,110 Mulberry Street NW,110 Mulberry Street NW,Lenoir,NC,28645,Caldwell,1,Retail,Freestanding,1970,  ,"11,433",Square Feet,100.0%,06/15/11,"2,375,000",05/20/11,  ,"1,187,613",  ,"1,187,613",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,187,613",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"267,158","8,015","259,143","15,663","243,480",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"11,433",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2.021,JPMCB,1331 Johnson Ferry Road,1331 Johnson Ferry Road,Marietta,GA,30068,Cobb,1,Retail,Freestanding,1979,  ,"4,911",Square Feet,100.0%,06/15/11,"2,300,000",05/11/11,  ,"1,150,109",  ,"1,150,109",  ,0.1%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"1,150,109",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,95.0%,"173,311","5,199","168,112","6,728","161,383",  ,  ,  ,  ,Fee,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,Yes,SunTrust Bank,"4,911",12/31/17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
